Stock,Date,Open,High,Low,Close,Volume,Adjusted
AMZN,3/4/2021,3012,3058.129883,2945.429932,2977.570068,5458700,2977.570068
AMZN,3/5/2021,3005,3009,2881,3000.459961,5383400,3000.459961
AMZN,3/8/2021,3015,3064.590088,2951.310059,2951.949951,4178500,2951.949951
AMZN,3/9/2021,3017.98999,3090.959961,3005.149902,3062.850098,4023500,3062.850098
AMZN,3/10/2021,3098.449951,3116.459961,3030.050049,3057.639893,3008700,3057.639893
AMZN,3/11/2021,3104.01001,3131.780029,3082.929932,3113.590088,2770800,3113.590088
AMZN,3/12/2021,3075,3098.97998,3045.5,3089.48999,2418500,3089.48999
AMZN,3/15/2021,3074.570068,3082.23999,3032.090088,3081.679932,2913600,3081.679932
AMZN,3/16/2021,3104.969971,3128.909912,3075.860107,3091.860107,2510100,3091.860107
AMZN,3/17/2021,3073.219971,3173.050049,3070.219971,3135.72998,3100900,3135.72998
AMZN,3/18/2021,3101,3116.629883,3025,3027.98999,3649600,3027.98999
AMZN,3/19/2021,3029.22998,3077.290039,3016.629883,3074.959961,4616400,3074.959961
AMZN,3/22/2021,3067.850098,3126.580078,3060.050049,3110.870117,2902200,3110.870117
AMZN,3/23/2021,3127,3182,3120.850098,3137.5,3817300,3137.5
AMZN,3/24/2021,3151.040039,3160.310059,3085.149902,3087.070068,2959000,3087.070068
AMZN,3/25/2021,3072.98999,3109.780029,3037.139893,3046.26001,3563500,3046.26001
AMZN,3/26/2021,3044.060059,3056.659912,2996,3052.030029,3306700,3052.030029
AMZN,3/29/2021,3055.439941,3091.25,3028.449951,3075.72998,2746000,3075.72998
AMZN,3/30/2021,3070.01001,3073,3034,3055.290039,2337600,3055.290039
AMZN,3/31/2021,3064.060059,3119.330078,3062.5,3094.080078,3093900,3094.080078
AMZN,4/1/2021,3117.939941,3162.439941,3115.550049,3161,2940300,3161
AMZN,4/5/2021,3173,3235.959961,3161.23999,3226.72998,3334900,3226.72998
AMZN,4/6/2021,3223.75,3247.310059,3217.040039,3223.820068,2537800,3223.820068
AMZN,4/7/2021,3233.800049,3303.610107,3223.649902,3279.389893,3346200,3279.389893
AMZN,4/8/2021,3310.899902,3324.5,3292,3299.300049,2812100,3299.300049
AMZN,4/9/2021,3304.699951,3372.199951,3288.899902,3372.199951,4334600,3372.199951
AMZN,4/12/2021,3355.209961,3395.040039,3351.149902,3379.389893,3281800,3379.389893
AMZN,4/13/2021,3400.850098,3432,3395.629883,3400,3315800,3400
AMZN,4/14/2021,3404.040039,3404.129883,3326,3333,3145200,3333
AMZN,4/15/2021,3371,3397,3352,3379.090088,3233600,3379.090088
AMZN,4/16/2021,3380,3406.800049,3355.590088,3399.439941,3183300,3399.439941
BB,4/24/2020,4.04,4.07,3.98,4.04,3716900,4.04
BB,4/27/2020,4.09,4.26,4.04,4.26,4374400,4.26
BB,4/28/2020,4.35,4.4,4.17,4.21,3509300,4.21
BB,4/29/2020,4.32,4.43,4.26,4.37,4752600,4.37
BB,4/30/2020,4.39,4.39,4.22,4.28,2819100,4.28
BB,5/1/2020,4.15,4.19,3.97,4.07,5531900,4.07
BB,5/4/2020,4.06,4.29,4.02,4.26,4808700,4.26
BB,5/5/2020,4.35,4.41,4.26,4.27,4529100,4.27
BB,5/6/2020,4.3,4.62,4.3,4.49,5931400,4.49
BB,5/7/2020,4.63,4.74,4.5,4.6,6126400,4.6
BB,5/8/2020,4.65,4.75,4.59,4.71,4836900,4.71
BB,5/11/2020,4.62,4.68,4.53,4.58,3858700,4.58
BB,5/12/2020,4.56,4.68,4.49,4.5,4234100,4.5
BB,5/13/2020,4.49,4.6,4.35,4.46,7800700,4.46
BB,5/14/2020,4.36,4.49,4.27,4.46,5702000,4.46
BB,5/15/2020,4.39,4.49,4.37,4.42,3104400,4.42
BB,5/18/2020,4.58,4.64,4.48,4.49,3880300,4.49
BB,5/19/2020,4.51,4.6,4.46,4.49,3895900,4.49
BB,5/20/2020,4.6,4.78,4.56,4.65,3836000,4.65
BB,5/21/2020,4.64,4.69,4.5,4.54,3137200,4.54
BB,5/22/2020,4.54,4.6,4.48,4.54,2244500,4.54
BB,5/26/2020,4.7,4.8,4.62,4.64,5213300,4.64
BB,5/27/2020,4.71,4.73,4.55,4.66,4857000,4.66
BB,5/28/2020,4.67,4.72,4.58,4.58,3470900,4.58
BB,5/29/2020,4.58,4.66,4.51,4.64,4071400,4.64
BB,6/1/2020,4.64,4.99,4.59,4.92,17250900,4.92
BB,6/2/2020,5.3,5.5,5.03,5.36,19723200,5.36
BB,6/3/2020,5.38,5.43,5.16,5.21,5690900,5.21
BB,6/4/2020,5.2,5.33,5.16,5.23,4554000,5.23
BB,6/5/2020,5.34,5.56,5.31,5.47,5842000,5.47
BB,6/8/2020,5.67,5.84,5.55,5.79,6199300,5.79
BB,6/9/2020,5.72,5.73,5.49,5.61,3714400,5.61
